fc,ds,zipcode,dimension,promise,3p_variable_cost,ddu_variable_cost,AMZL_variable_cost,feasible_routes,units,arrival,amzl_optimal_flow,ddu_optimal_flow,3p_optimal_flow,optimal_flows_on_each_route
SMF1,DLA5,92320,dim1,2021-05-12 23:59:59,6.1,not_defined,0,['r99' 'r2189' 'r3200'],1.2631625118795233,2021-05-11 05:00:00,1.4017835500596376e-09,9.65644253287474e-10,1.263162509512095,"{'r99': 1.4017835500596376e-09, 'r2189': 1.263162509512095, 'r3200': 9.65644253287474e-10}"
SMF1,DLA5,92324,dim1,2021-05-12 23:59:59,5.96,not_defined,0,['r30' 'r99' 'r2190' 'r2626' 'r3201'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r30': 0.0, 'r99': 0.0, 'r2190': 0.0, 'r2626': 0.0, 'r3201': 0.0}"
SMF1,DLA5,92324,dim1,2021-05-12 23:59:59,5.96,not_defined,0,['r99' 'r2190' 'r3201'],1.2631625118795233,2021-05-11 05:00:00,1.2525212426809985e-09,9.713399184858655e-10,1.2631625096556618,"{'r99': 1.2525212426809985e-09, 'r2190': 1.2631625096556618, 'r3201': 9.713399184858655e-10}"
SMF1,DLA5,92346,dim1,2021-05-12 23:59:59,5.96,not_defined,0,['r30' 'r99' 'r2191' 'r2627' 'r3202'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r30': 0.0, 'r99': 0.0, 'r2191': 0.0, 'r2627': 0.0, 'r3202': 0.0}"
SMF1,DLA5,92346,dim1,2021-05-12 23:59:59,5.96,not_defined,0,['r99' 'r2191' 'r3202'],3.157906279698808,2021-05-11 05:00:00,1.2525211553408638e-09,9.275710843968332e-10,3.1579062775187157,"{'r99': 1.2525211553408638e-09, 'r2191': 3.1579062775187157, 'r3202': 9.275710843968332e-10}"
SMF1,DLA5,92354,dim1,2021-05-12 23:59:59,5.99,not_defined,0,['r30' 'r99' 'r2192' 'r2628' 'r3203'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r30': 0.0, 'r99': 0.0, 'r2192': 0.0, 'r2628': 0.0, 'r3203': 0.0}"
SMF1,DLA5,92354,dim1,2021-05-12 23:59:59,5.99,not_defined,0,['r99' 'r2192' 'r3203'],1.2631625118795233,2021-05-11 05:00:00,1.281767594379483e-09,9.656442532873581e-10,1.2631625096321113,"{'r99': 1.281767594379483e-09, 'r2192': 1.2631625096321113, 'r3203': 9.656442532873581e-10}"
SMF1,DLA5,92359,dim1,2021-05-12 23:59:59,6.02,not_defined,0,['r30' 'r99' 'r2193' 'r2629' 'r3204'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r30': 0.0, 'r99': 0.0, 'r2193': 0.0, 'r2629': 0.0, 'r3204': 0.0}"
SMF1,DLA5,92359,dim1,2021-05-12 23:59:59,6.02,not_defined,0,['r99' 'r2193' 'r3204'],0.6315812559397617,2021-05-11 05:00:00,1.3124125636084582e-09,9.328253764543433e-10,0.6315812536945237,"{'r99': 1.3124125636084582e-09, 'r2193': 0.6315812536945237, 'r3204': 9.328253764543433e-10}"
SMF1,DLA5,92373,dim1,2021-05-12 23:59:59,6.02,not_defined,0,['r30' 'r99' 'r2194' 'r2630' 'r3205'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r30': 0.0, 'r99': 0.0, 'r2194': 0.0, 'r2630': 0.0, 'r3205': 0.0}"
SMF1,DLA5,92373,dim1,2021-05-12 23:59:59,6.02,not_defined,0,['r99' 'r2194' 'r3205'],3.78948753563857,2021-05-11 05:00:00,1.3124122972074113e-09,9.600149373570975e-10,3.789487533366144,"{'r99': 1.3124122972074113e-09, 'r2194': 3.789487533366144, 'r3205': 9.600149373570975e-10}"
SMF1,DLA5,92374,dim1,2021-05-12 23:59:59,6.01,not_defined,0,['r30' 'r99' 'r2195' 'r2631' 'r3206'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r30': 0.0, 'r99': 0.0, 'r2195': 0.0, 'r2631': 0.0, 'r3206': 0.0}"
SMF1,DLA5,92374,dim1,2021-05-12 23:59:59,6.01,not_defined,0,['r99' 'r2195' 'r3206'],3.157906279698808,2021-05-11 05:00:00,1.3020358460744189e-09,9.489510528717619e-10,3.1579062774478213,"{'r99': 1.3020358460744189e-09, 'r2195': 3.1579062774478213, 'r3206': 9.489510528717619e-10}"
